park,county,park_size,lat,long,section,township,range,sp_num,agency,IRC
Boystown Pineland,Miami-Dade,76.71,25.66177,-80.42017,10,55,39,128,Miami-Dade County,1
Coral Pines Park,Miami-Dade,9.8,25.675,-80.30778,2,55,40,148,Village of Pinecrest,1
Coral Reef Park,Miami-Dade,47.56,25.63111,-80.32,22,55,40,172,Miami-Dade County Department of Parks and Recreation,1
Dolphin Center and Dolphin Center Addition,Miami-Dade,7.3,NA,NA,NA,NA,NA,209,Miami-Dade County,1
Eachus Pineland,Miami-Dade,17.24,25.59659,-80.42132,34,55,39,192,Miami-Dade County,1
Florida City Pineland,Miami-Dade,23.54,25.44575,-80.48731,25,57,38,257,Miami-Dade County,1
George N. Avery Pineland,Miami-Dade,2.4,25.546,-80.394,24,56,39,158,Institute for Regional Conservation,1
Gold Coast Railroad Museum,Miami-Dade,60.31,25.61967,-80.40346,NA,NA,NA,161,Miami-Dade County Department of Parks and Recreation,1
Goulds Pineland,Miami-Dade,35.76,25.55684,-80.38748,NA,NA,NA,157,Miami-Dade County,1
Ludlam Pineland,Miami-Dade,10.22,25.63501,-80.30404,23,55,40,254,Miami-Dade County,1
Navy Wells Pineland,Miami-Dade,353.17,25.43619,-80.5057,26,57,38,383,Miami-Dade County Department of Parks and Recreation,1
Navy Wells Pineland 39,Miami-Dade,8.19,25.45665,-80.51807,28,57,38,107,Miami-Dade County,0
Ned Glenn Nature Preserve,Miami-Dade,11,25.5915,-80.33349,4,56,40,257,Miami-Dade County Department of Parks and Recreation,1
Nixon Smiley Pineland Preserve,Miami-Dade,120,25.64972,-80.40833,14,55,39,274,Miami-Dade County Department of Parks and Recreation,1
Palm Drive Pineland,Miami-Dade,20,25.44858,-80.54097,21,57,38,218,Miami-Dade County,1
Pine Island Ridge Natural Area,Broward,101,NA,NA,NA,NA,NA,267,Broward County,0
Pine Shore Preserve,Miami-Dade,7.82,25.65,-80.37417,18,55,40,239,Miami-Dade County Department of Parks and Recreation,1
Quail Roost Pineland,Miami-Dade,48.54,25.57307,-80.42686,NA,NA,NA,316,Miami-Dade County,1
Rock Pit 34,Miami-Dade,5,NA,NA,NA,NA,NA,56,Miami-Dade County,1
Rock Pit 39,Miami-Dade,7,25.45397,-80.50338,23,57,38,231,Miami-Dade County,1
Rockdale Pineland,Miami-Dade,37.07,25.63481,-80.34043,21,55,40,316,Miami-Dade County Department of Parks and Recreation,1
Ron Ehman Park,Miami-Dade,14.6,25.66667,-80.35,9,55,40,183,Miami-Dade County Department of Parks and Recreation,1
Seminole Wayside Park,Miami-Dade,27.71,25.48833,-80.45417,8,57,39,190,Miami-Dade County Department of Parks and Recreation,1
Silver Palm Groves,Miami-Dade,20.36,25.55211,-80.41694,15,56,39,263,Miami-Dade County,1
Sunny Palms Pineland,Miami-Dade,40.77,25.42439,-80.51941,34,57,38,270,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Trinity Pineland,Miami-Dade,10,25.69896,-80.31136,35,54,40,203,Miami-Dade County Department of Parks and Recreation,1
Tropical Park,Miami-Dade,275,25.725,-80.32,22,54,40,171,Miami-Dade County Department of Parks and Recreation,1
West Biscayne Pineland,Miami-Dade,15.1,25.49312,-80.50075,2,57,38,246,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
