park,county,park_size,lat,long,section,township,range,sp_num,agency,IRC
A.D. 'Doug' Barnes Park,Miami-Dade,60.4,25.73667,-80.30917,14,54,40,299,Miami-Dade County Department of Parks and Recreation,1
Alice C. Wainwright Park,Miami-Dade,21.5,25.74806,-80.205,NA,NA,NA,226,City of Miami Department of Parks and Recreation,1
Allapattah Flats Wildlife Management Area,Martin,20945,27.195173,-80.545586,NA,NA,NA,80,Florida Fish and Wildlife Conservation Commission,0
Andrew Dodge Memorial Pineland,Miami-Dade,4.25,25.536,-80.396,23,56,39,51,Miami-Dade County,0.5
Arch Creek Addition,Miami-Dade,1.21,25.900912,-80.16137,NA,NA,NA,37,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,0.5
Arch Creek Park,Miami-Dade,10.31,25.90056,-80.16167,28,52,42,254,Miami-Dade County Department of Parks and Recreation,0.5
Arthur R. Marshall Loxahatchee National Wildlife Refuge,Palm Beach,148488.37,26.45417,-80.22833,NA,NA,NA,262,United States Fish and Wildlife Service,1
Atlantic Dunes Park,Palm Beach,7,26.442,-80.061,NA,NA,NA,142,City of Delray Beach,1
"Attwood Addition, Indian Key Historic State Park",Monroe (Keys),6,24.90689,-80.6463,NA,NA,NA,112,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Bahia Honda State Park,Monroe (Keys),491.25,24.66278,-81.26389,25,66,30,299,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Barefoot Beach Preserve,Collier,342,26.29472,-81.83278,NA,NA,NA,88,Collier County,1
Barley Barber Swamp,Martin,342,27.04611,-80.5875,NA,NA,NA,47,Florida Power and Light,0
Bartlett Estate,Broward,35,26.13536,-80.10401,NA,NA,NA,23,Florida Trust for Historic Preservation,0
Beachwalk Pasley Park,Martin,17,27.21861,-80.177536,NA,NA,NA,39,Martin County,0
Big and Little George Hammocks,Miami-Dade,18.21,25.637473,-80.436321,NA,NA,NA,224,Miami-Dade County,1
Big Cypress National Preserve,"Collier, Miami-Dade, Monroe (Mainland)",729000,26.25278,-81.28111,NA,NA,NA,1150,United States National Park Service,1
"Big Torch Hammocks Parcels Epstein and MCLA, Florida Keys Wildlife and Environmental Area",Monroe (Keys),60,NA,NA,NA,NA,NA,76,Monroe County (Keys),1
"Big Torch Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),103.65,NA,NA,NA,NA,NA,133,Florida Fish and Wildlife Conservation Commission,1
"Big Torch Key Parcels 884 and 885, Florida Keys Wildlife and Environmental Area",Monroe (Keys),67.19,24.70843,-81.43306,12,66,28,98,Florida Fish and Wildlife Conservation Commission,1
Bill Baggs Cape Florida State Park,Miami-Dade,431.63,25.67491031,-80.15822411,NA,NA,NA,483,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Bill Sadowski Park,Miami-Dade,29.26,25.60667,-80.32083,34,55,40,411,Miami-Dade County Department of Parks and Recreation,1
"Bird Island, Palm Beach County",Palm Beach,NA,NA,NA,NA,NA,NA,3,TNC,1
Biscayne National Park,Miami-Dade,172924.07,25.64361,-80.16667,NA,NA,NA,538,United States National Park Service,1
Black Creek Forest,Miami-Dade,6.98,25.56862,-80.37371,7,56,40,266,Miami-Dade County,1
Black Point Park and Marina,Miami-Dade,117.88,25.53778,-80.33167,NA,NA,NA,123,Miami-Dade County Department of Parks and Recreation,1
Black Point Wetlands,Miami-Dade,78.94,NA,NA,28,NA,NA,42,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,0
Blazingstar Preserve,Palm Beach,24.14,NA,NA,NA,NA,NA,89,City of Boca Raton,0.5
Blowing Rocks Preserve,Martin,66.67,26.97667,-80.08194,NA,NA,NA,231,The Nature Conservancy,0
"Blue Heron Hammock, Florida Keys Wildlife and Environmental Area",Monroe (Keys),51.45,NA,NA,NA,NA,NA,188,Florida Fish and Wildlife Conservation Commission,1
Boca Chica Beach,Monroe (Keys),6,NA,NA,NA,NA,NA,143,Monroe County,1
Bocilla Preserve,Lee,197,NA,NA,NA,NA,NA,122,Lee County,1
"Bonair Beach Parcel, Martin County",Martin,45.64,27.0793,-80.12477,NA,NA,NA,161,Town of Jupiter Island,1
Boystown Pineland,Miami-Dade,76.71,25.66177,-80.42017,10,55,39,128,Miami-Dade County,1
Caloosahatchee Creeks Preserve,Lee,NA,NA,NA,NA,NA,NA,534,Lee County,1
Caloosahatchee Regional Park,Lee,768,NA,NA,NA,NA,NA,185,Lee County,1
Camp Owaissa Bauer,Miami-Dade,99.35,25.52333,-80.46833,30,56,39,420,Miami-Dade County Department of Parks and Recreation,1
Cape Romano - Ten Thousand Islands Aquatic Preserve,Collier,53913,25.84944,-81.56056,NA,NA,NA,181,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Carlin Park,Palm Beach,110.44,26.92889,-80.07306,NA,NA,NA,15,Palm Beach County,1
Castellow Hammock parcel 28,Miami-Dade,18.43,25.55748,-80.4434,NA,NA,NA,160,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock parcel 31,Miami-Dade,NA,NA,NA,NA,NA,NA,110,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock parcel 33,Miami-Dade,7.41,25.55661,-80.44651,17,56,39,162,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock Park,Miami-Dade,114.79,25.55972,-80.45528,17,56,39,377,Miami-Dade County Department of Parks and Recreation,1
Cayo Costa State Park,Lee,2412.28,NA,NA,NA,NA,NA,385,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Chapman Field Park,Miami-Dade,566,25.64028,-80.27917,NA,NA,NA,215,Miami-Dade County Department of Parks and Recreation,1
Charlotte Harbor Preserve State Park,"Charlotte, Lee",43614,NA,NA,NA,NA,NA,12,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Chernoff Hammock,Miami-Dade,NA,NA,NA,NA,NA,NA,91,Miami-Dade County,0
Cholee Park,Palm Beach,812,NA,NA,NA,NA,NA,75,Palm Beach County,0.5
City of West Palm Beach Water Catchment Buffer,Palm Beach,14592,NA,NA,NA,NA,NA,234,City of West Palm Beach,0.5
Coconut Creek Natural Area,Broward,10.9,NA,NA,NA,NA,NA,142,Broward County,0.5
Collier-Seminole State Park,Collier,7271.09,25.97611,-81.60389,NA,NA,NA,439,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Coral Cove Park,Palm Beach,30,26.958,-80.077,NA,NA,NA,1,Palm Beach County,0
Coral Pines Park,Miami-Dade,9.8,25.675,-80.30778,2,55,40,148,Village of Pinecrest,1
Coral Reef Park,Miami-Dade,47.56,25.63111,-80.32,22,55,40,172,Miami-Dade County Department of Parks and Recreation,1
